ID_field,ID,FieldN,FieldN_2,Day_swab,Treatment,TotalInitialDoseZoosporesPermL,StrainSpecificInitialDoseZoosporesPermL,Lineage_type,Lineage,Strains,StrainID,Mortality_percentage,Cleared_percentage,Total_Bd_quantity,Number_of_lineages,DNA,VICqtyGPL,VICqtyHyb,FAMqtyBZ,GPL_pg,Brazil_pg,Hybrid,TotalBd,Susceptible,Infected,Dead
78#,78,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.002788214,0,2.788,0,2.788,0,1,0
78M,78,M,S2,45,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.121036166,0,121.036,0,121.036,0,1,1
100#,100,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.033706696,0,33.707,0,33.707,0,1,0
100F,100,F,S2,76,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.000384038,0,0.384,0,0.384,0,1,0
131#,131,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.001185576,0,1.186,0,1.186,0,1,0
131M,131,M,S2,54,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.237432265,0,237.432,0,237.432,0,1,1
140#,140,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.001234338,0,1.234,0,1.234,0,1,0
140F,140,F,S2,76,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.001788463,0,1.788,0,1.788,0,1,0
162#,162,#,S1,21,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.040764418,0,40.764,0,40.764,0,1,0
162M,162,M,S2,33,Single,2980000,2980000,Enzootic,Brazil,41,E1,62.5,18.75,3402.049,1,Mtr,0,0,0.161355537,0,161.356,0,161.356,0,1,1
